Ingredient,Calories per 100 grams
Orange Juice,47
Brioche Loaf,312
Peanut Oil,119
Bittersweet Chocolate,530
Yam Beans,46
Lobster Shell,105
Lime Juice,29
Vanilla,288
Ginger,80
Milk (Warm),46
Cake Flour,355
Salt or Rock Salt,0
Potato,82
Cherry Tomatoes,18
Water Chestnut Flour (Kuttu Ka Aata),348
Coriander,27
Whole Chilli,40
Condensed Milk,318
Garlic Cloves,149
Plain Yogurt,59
Egg,155
Litchis (Deseeded),62
Salt,0
Garlic Cloves (Halved),149
Cooked Rice,358
Milk or Water,46
Fresh Lemon Juice,29
Organic All-Purpose Flour,355
Cornflour,372
Breakfast Sugar,383
Tamarind Paste,27
Whole Free Range Chicken,165
Peanut Oil or Vegetable Oil (Divided),119
White Pepper,250
Rose Water,2
Plain Flour,355
Kiwifruiit,61
Low Fat Yogurt,35
Rice Paper Sheets,335
Cashews,578
Dessicated Coconut,625
Plastic Bag,0
White Bread Slices,265
Baking Powder,292
Rock Salt,0
Coconut Powder,553
Carrot (Peeled),41
Red Chilli Powder,40
Almonds (Slivered),578
Dark Brown Sugar,324
Butter (Chilled),758
Bread Slices,265
Yeast,95
Snow Peas (Trimmed),38
Garlic Cloves,149
Mint Leaf (Crushed Nuts),43
Raw Banana,105
Kosher Salt,0
Rice,358
Kasuri Methi,229
Whole Wheat Flour,364
Young Corn on the Cob,101
Lemon,29
Finger Millet Flour (Ragi),353
Green Apple,52
