Ingredient,Calories per 100 grams
Turmeric Powder,354
Som Tam Dressing,140
Few Shakes of Black Pepper,250
Oyster Sauce,100
Ginger,80
Almonds (Whole),578
Drumstick,200
Chicken Thigh/Breast (Cut Crosswise into 1/2-Inch-Thin Strips),165
Onion Paste,45
Moong Dal,348
Milk Chocolate or Dark Chocolate,530
Parsley,43
Ginger Juice,80
White Chocolate,540
Fresh Coconut,283
Fillet Fish,105
Sugar,383
Chawli,290
Pomelo,31
Yams (Red Skinned),113
Vanilla Extract,288
Fresh Lime (Juiced),29
Parsley,43
Ginger Garlic Paste,84
Mascarpone,450
Tamarind Pulp,27
Oil,119
Mixed Vegetable,32
Canned Pelati Tomatoes (Cooked),25
Vanilla Flavored Yogurt (Low Fat),120
White Chocolate,540
Salmon Fillet,203
Shiitake Mushrooms,34
Celery Leaves,14
Baking Soda,292
Ginger (For Sauce),80
Clarified Butter (Desi Ghee),884
Parsley Sprigs,43
Almonds (Crushed),578
Garlic Cloves (Minced),149
Whole Milk,64
Liquid Glucose,318
Core,20
Sea Salt,0
Vegetable Broth,16
Water,0
Coconut Oil,884
Cilantro,27
Kasha,349
Red Pepper,40
Bean Sprouts,22
Chocolate,530
Fennel Seeds (Saunf) (Crushed Coarsely),322
Powdered Turmeric,354
Icing Sugar,399
White Wine,80
Cooked Basmati Rice,130
Tomato Confit,200
Clove Powder,292
Cashew Nuts and Almonds,557
Cassia Bark or Cinnamon Stick,266
Celery (Finely Diced),14
Turmeric Powder,354
Dark Chocolate Coverture,530
Thai Ginger,80
Dijon Mustard,67
Chilli Sauce,100
Hing,0
Peas,83
Sesame Oil,92
Pistachios (Blanched),578
Bread,265
Oil,119
Sweet Potatoes,113
Rolled Oats,379
Sesame Seeds or Cinnamon,529
Small Green Chilli,40
Papaya,43
