Ingredient,Calories per 100 grams
Rolled Oats,379
Thyme,2
Fresh Parsley,43
Dried Parsley,6
Garam Masala Powder,323
Fresh Breadcrumbs,350
Egg,155
Black Pepper,250
Assorted Garden Herbs (Parsley),43
Salt,0
Kosher Salt,0
Red Wine,50
Basil Pesto,120
Cinnamon Powder,266
Pistachios,562
Bell Pepper (Sautéed and Diced),30
Dry Fruits,280
Fresh Cream,200
Khaand (Sweetening Agent),230
Red Bell Pepper (Cut into Thin Strips),31
Peach Fruit Slices,49
Red Capsicum,31
Full Cream Milk,64
Aamchoor Powder,2
Wilted Spinach,23
Green Peas,79
Tofu,78
Sweet Chilli Sauce,75
Fish Fillet,105
Water,0
Toasted Peanuts,578
Cardamom Powder,304
Green Cardamom Pod,311
Dark Rum,235
Tempura Batter,340
Brown Sugar or Jaggery,324
Jaggery,383
Strawberries,32
Nutmeg Powder,266
Cumin Powder,322
Bread (White/Brown),265
Tamarind (Lemon Sized),27
Salt,0
Chilli Pepper (Sliced),40
Black Pepper Powder,0
Black Garlic Pickle,160
Apple Cider,26
Fresh Pineapple,49
Red Velvet Cake (One 9 x 13 Inch Layer),407
Chilled Water,0
Lemon (For Lemon Juice),29
Parmigiano Cheese,384
White Wine and Water Mix to Cover,13
Cashews (Kaju),553
Prawns,99
Oil,119
Pumpkin,33
Sour Curd,110
Rice (Washed),358
Assorted Seasonal Fruits,60
Green Chilli Sauce,75
Fresh Cilantro,27
Corn Kernels,102
Garlic (Halved - Skin On),149
Mawa,269
Fresh Parsley Leaves,42
American Corn Kernels,102
Paprika Powder,43
Sweet Chili Sauce,75
Salt and Pepper,10
Mixed Vegetables (Chopped Fine or Grated),32
Parathas,265
Anardana,29
Eggs (Lightly Beaten),155
Olive Oil,119
French Bread Loaf,265
Parmesan,292
Mixed Dried Herbs,2
Green Chillies (Slit),40
Raw Banana Paste,335
Green Coriander,27
Beetroot Puree,67
Green Chilies,40
Egg Yolk,344
Vanilla,288
Quinoa,368
Honey or Maple Syrup,260
Water,0
Chilli,40
Dates (Ripe),277
Salt,0
Green Chillies,40
Turnip,35
Flax or Chia Seeds,5
