Ingredient,Calories per 100 grams
Chocolate block,530
Fenugreek seeds,324
Mustard seeds (crushed),546
Salt and pepper,10
Cream cheese,305
Freshly ground black pepper,250
Egg yolks,331
Watermelon,34
Whole red chillies,40
Celery stalk,14
Green cardamom powder,311
Chicken stock,34
Eggs,155
Green chillies,40
Onions (cut into slices),25
Butter (softened),758
Jeera whole,322
Black olive tapenade,142
Red grapes,64
Thai ginger,80
Whole red chilli,40
Banana,105
Fresh green chillies (deseeded),40
"Sweet ""dessert banana"" variety",105
Garlic (minced),149
Oil (for greasing),119
River sole fish (cut in thin strips),105
Onions (quartered- skin on),25
Sea salt,0
Poppy seeds (khus-khus),529
Pineapple (pieces),49
Tomato paste,25
Coriander,27
Nuts,553
Cumin,322
Butter (to rub),758
Ginger-garlic paste,84
Oregano,265
Semolina (rava/sooji),379
Dusted moong dal boiled with salt,358
Ragi flour,353
Fresh coriander,27
Ground almonds (toasted),578
Instant Coffee Powder,24
10 ml potato starch,200
Endive lettuce,17
Bay leaf,2
Star anise,20
Lobster (de-shell and devein and make a small cube),105
Mace powder,240
Espresso,2
Cooking oil,119
Iceberg lettuce,14
Vanilla essence,288
Whole coriander seeds,266
Kashmiri chilly,40
Pepper corn,250
Coriander,27
Lemon slices (1/8 inch thick),29
Green cardamom,311
Almonds,578
Butter biscuits (broken into pieces),494
Chocolate Sponge Eggless,407
Soybean,365
Cardamom (elaichi) powder,304
Poppy seeds,529
Walnuts,654
Fresh turmeric,80
Garam masala powder,323
Onion,25
Raisins,263
Scrubbed,0
Pizza/flatbread base,265
Berries,43
Plums (cut),46
Sugar,383
Refined flour (maida),355
Red Poha,358
Hot curry powder,231
Spring onions,32
Cloves,292
Freshly ground pepper,250
Cumin seeds,322
Chocolate chips,530
Coriander powder,266
Saffron (kesar) strands,310
