Ingredient,Calories per 100 grams
Coriander (Toasted & Ground),266
Mayonnaise,700
Water,0
Ka,165
Prepared Mustard,54
Lecite,504
Kewda to Flavor,44
Egg Whites,57
Honey,300
Soya Chunks,280
Almonds (Crushed),578
One Can of Sweetened Condensed Milk,318
Hing,0
Bread,265
White Balsamic Vinegar,88
Summer Squash (Zucchini),25
Hot or Cold,0
Hazelnut Streusel:,265
Potato (Grated),82
Dark Chocolate,530
With Curry,323
Romaine Lettuce,17
Rum,235
Fresh Turmeric,80
Fresh Sole Fish,105
Fresh Buffalo Mozzarella Cheese,285
Freshly Ground Black Pepper,250
Mock Meat,120
Food Thermometer,0
Water,0
Turmeric Powder (Haldi),354
Caster Sugar,383
Carrot,41
Rosemary,28
Sweet Paprika,43
Instant Espresso (Mixed with 1 Tbsp Water),14
Cumin,322
Chicken Stock/Broth,34
Honey/Sugar,300
Black Olives,142
Ground Sugar,383
Whole Wheat Flour Dough,297
Cous Cous:,368
Turmeric,354
Parsley,43
Sweet Potato Cubes,113
Butter or Margarine,758
Surmai,105
Coconut Milk,247
Jalapeño Poppers,168
Made Using Indian Spices,0
Frozen Mixed Berries,103
Salt and Pepper,10
Rose Essence or Vanilla Essence,288
King Fish,105
Shallots,70
Pure Vanilla Extract,288
Granulated Sugar,383
Chicken Broth,34
Red Onion (Optional),36
Garlic Powder,249
Lemon (Juiced),29
Peanuts,578
Dry Coconut,625
Chana,312
Herbs (Basil),27
Tomato,18
Ground Cumin,322
Ground Cinnamon,266
Unsalted Butter (Room Temperature),758
Oil,119
Maple Syrup,260
Butter (Room Temp Cut into 1 Inch Pieces),758
Red Chillies,40
Quick Cooking Oats,379
Basmati Rice,358
Chilli Powder,40
Lamb Bones,402
Fresh Cream,331
Broken Rice,358
Garlic Paste,84
Basil Sprig,27
Bananas,105
Thyme,100
Ginger Paste,84
Cooking Cream,331
Curry Leaves,2
Baasa Fish,105
Baking Powder,292
