Ingredient,Calories per 100 grams
Coriander Leaves,27
Pectin,300
Red Cabbage,25
Salt,0
Almonds and Pistachios,557
Bread Flour,355
Ripe Tomatoes,18
Olive Oil,119
Avocado,160
Sweet Potato,113
Cucumber,15
Olive Oil,119
Basmati Rice,358
Tomatoes (Diced),18
Gram Flour (Besan),364
Fresh Coriander,27
Ginger Paste,84
Tossed Flax Seeds (For Topping),534
Unsweetened Cocoa Powder,249
Brandy,233
Ginger and Garlic,84
Baguette (Grilled Slices),265
Toasted Almond Flakes,578
Salt,0
Icing Sugar,399
Gorka (For Garnish),15
Vanilla Extract,288
Parsley Stems,27
Almond Powder,578
Red Chilli Powder,40
Butter (At Room Temperature),758
Ripe Mango (Diced),67
Norwegian Salmon,203
Chocolate,530
Prawns,99
Salt,0
Coriander,27
Raw Mango (Pieces),67
Salt,0
Raspberry Puree,61
Icing Sugar,399
Red Wine Vinegar,16
Hot Curry Powder,231
Double Cream,481
Oil (For Frying),119
Egg Yolks + Whole Eggs (For Modak),352
Chocolate Chips (For Modak),530
Peanuts (For Modak),578
Ground Chickpea Flour (Sattu),364
Curry Powder (For Modak),231
Peppercorn (For Modak),250
Chicken Breast Supremes,165
Fresh Fish Pieces (River Sole or Sea Bass),110
Sweet Corn,102
Black Cardamoms,304
Boiling Water,0
Flax or Chia Seeds,534
Ajwain,322
Dark Chocolate,530
All-Purpose Gluten Free Flour,355
Ginger and Garlic Paste,84
Chinese Rice Wine,50
Jasmine Rice (Cooked),130
Mustard,54
Shallot Oil,119
Red Chilli Paste,75
Parmesan,384
Cooked Peas,83
Ginger/Galangal,84
English Mustard,60
Ghee,884
Extra-Virgin Olive Oil,119
Olive Oil (Regular Not Extra Virgin),119
Almond,578
Arborio Rice,358
Tomato Sauce,25
Sugar Syrup/Gur (Jaggery) Syrup,383
Berries,43
Fresh Coconut Paste,545
Ground Hazelnut,625
Almonds,578
Pepper Powder,250
Bread Crumbs for Crunchyness,350
Heavy Cream,331
Baking Powder,292
Garam Masala,323
Fish,105
Coriander Leaves,27
Cashew Nuts,553
