Ingredient,Calories per 100 grams
Caster Sugar,383
Parsley or Coriander (Choose the Herb That Most Suits Your Taste Buds),43
Lollo Rosso,15
Tortilla Sheet,280
Mozzarella Buffalo Cheese,302
Cooked Rice,358
Coconut,286
Red Rice Vermicelli / Broken Sooji / Semolina Vermicelli,361
Basil Leaves,27
Edamame Beans,122
Almond Flakes,578
Mixed Nuts (Almonds,578
Prawns (Shelled and Cleaned),105
Camel Milk,49
Ground Black Pepper,250
Peanuts),578
Refined Oil (For Frying),119
Cashew Paste,599
Tomato Puree,27
Green Chillies,40
Parsley,43
Cooking Spray,0
Onions,25
Garlic Cloves (Crushed),149
Tomato,18
Smoked Yogurt,62
Flour,355
Boiling Water,0
Salt and Black Pepper,0
Oats,379
Refined Flour,355
Whole Egg,155
Garlic Clove,149
Maida Organic,355
Iceberg Lettuce,14
Tomato Sauce,26
Whisky,240
Paprika,43
Semolina (Rava/Suji),360
Dried Slices of Bananas (Fruits of Herbaceous Plants of the Genus Musa of the Soft,283
Garlic,149
Onion,25
Salt and Lime,0
Basil Leaves,27
Thai Green Curry Paste,235
Soy Sauce,52
Vegetable Oil,119
Mixed Vegetables (Tomatoes,18
Single Cream,331
Fresh Basil Leaves,27
Asparagus,20
Carrot,41
Cucumber Peeled and Chopped,14
Breakfast Sugar,383
Celery,14
Dry Ginger,320
Almonds (Whole),578
Chocolate (Light Sweet),534
Cardamom Powder,311
Zucchini (Cut in to 3 Cm Cubes),25
Rohu Fish,105
Buttermilk (Divided),35
Salt & Pepper,0
Water Chestnuts,46
Coriander Seeds,229
Dark Chocolate (Melted),530
Nutmeg (Ground),360
Yogurt (Strained),59
Grapes,64
Rosemary,28
Egg White,53
Dried Breadcrumbs (For Rolling),403
Jaggery,383
Green Cardamoms(Powdered),311
Curry Leaf,2
Curd,62
Almond Paste,599
