Ingredient,Calories per 100 grams
Almonds (Halved),578
Carrot (Finely Diced),41
Green Chili,40
Chicken Mince,239
Jaggery (Organic),383
Sour Cream,180
Lemon Juice,29
Cream Cheese (Softened And Cut Into 8 Pieces),348
Saffron,260
Garlic (Crushed),149
Mustard Seeds (Sarson),466
Bacon,522
Rice Noodles (Soaked In Warm Water For 20-25 Minutes),371
Surmai Fish,110
Urad Dal,341
Purple Cabbage,25
Dates (Pitted),277
Tarts,358
Red Capsicum (Can Use Green Also),30
Carnaroli Rice,352
Sugar,383
Quinoa (Cooked),128
Desi Ghee,884
Whole Almonds,578
Pizza Seasoning,31
Peas And French Beans),80
Olive Oil,119
Coconut (Tender),194
Cornflour,372
Cucumber (Diced),14
Water,0
Black Cardamom,311
Sweet Chili Sauce,150
Garlic Paste,149
Smoked Paprika,43
Garam Masala,320
Garlic,149
Mustard Seeds,466
Cinnamon,246
For Namak Para:,
Panko,395
Low Fat Milk,35
Tomatoes,18
Shahi Jeera,322
Marshmallow,318
Artichoke Hearts,67
Chick Peas,364
Spaghetti,371
Few Dashes Of Hot Sauce,0
Aubergines (Cut In To 3 Cm Cubes),24
Cardamom,311
They Can Be Covered With Sugar Or Honey And Have A Sweet Taste,0
Raw Banana (Boiled),96
Crushed Mix Chili,40
Cinnamon Sticks,246
Lemongrass Sauce,10
Cayenne,40
Elaichi,311
Ground Nut Oil,119
Arbi/Colocasia Roots,115
Sea Salt,0
Salt,0
Unsalted Butter,758
Sugar (Ground),383
Red Onions,25
Dark Chocolate,530
Phyllo Sheets,236
Caramel Sauce,355
Small Raw Mango,67
Zucchini,25
Lemon Wedges,29
Apple Cider Vinegar,16
Whole Wheat Flour Or Oat Flour,355
Cinnamon Powder,246
Water,0
Cranberries (Frozen/ Dried),281
French Bean Diamond,40
Salt,0
Spinach,23
Baking Powder,292
