Ingredient,Calories per 100 grams
Rice Vinegar,16
Cardamom Powder,311
Whole Wheat Flour (Atta),364
Ginger and Garlic Paste,84
Soya Sauce,52
Coconut Cream,247
Clove,292
Apple,52
Sesame Seeds,529
Salt to Taste,0
Coriander Leaves,27
Oats,379
Brandy,205
Whole Red Chilli (Sabut Laal Mirch),40
Fennel,42
Pomegranate,83
Minced Lamb,270
Chana Dal,348
Cantaloupe,34
Vinegar,16
Whole Green Moong Dal,348
Almonds (Badam) - Coarsley Crushed,578
Bayleaf,2
Phyllo Pastry Sheet,320
Pepper,250
Chilli Flakes,40
Cinnamon,249
Basmati Rice (Soaked in Water),358
Dessicated Coconut (Optional),625
Mango Flesh,67
Beans,341
Rice,358
Hazelnut Streusel,265
Caster Sugar,383
Lemon Juice,29
Cashew Paste,599
Cardamom Powder,311
Rice Wine Vinegar,16
Refined Flour,355
Coconut (Unsweetened),286
Red Chilli Flakes,40
Fresh Raspeberry,52
Cream,331
Orange (Zested and Juiced),47
Lemon. Pieces of,29
Clarified Butter,884
Sugar,383
Coffee,2
Sweetener (Optional),0
Walnuts,654
Eggs (Hard Boiled and Peeled),155
Fennel Powder,322
Brown Bread Slices,242
King Fish Cut into One Inch Pieces,105
All-Purpose Flour,355
Cucumbers,14
Garlic Flakes,385
Green Cardamoms,311
Melted White Chocolate,545
Cherry Tomatoes,18
Green Chilli,40
Matcha Powder,300
Xanthan Gum,0
Tart,358
Coconut,286
Red Food Coloring,0
Castor Sugar,383
20 gm Porcini,319
Goat Cheese,282
Banana,105
Black Salt,0
Ghee or Oil,119
Boiled Rice,358
Peanuts (Crushed),578
Cookie Crumble,470
Pureed Tamarind,27
Butter,758
Curry Leaves,2
Variety of rice,358
Whole Dry Red Chillies,40
Pomegranate,83
Cinnamon Powder,249
Fresh Strawberries,49
Rice,358
Pepper,250
Ginger Garlic,84
Cardamom Powder,311
