Ingredient,Calories per 100 grams
Hot Water,0
Sugar (Fine Grain),383
Cheddar Cheese,254
Fresh Coconut,283
Fish Fillet (Pomfret (Or Any White Fish),105
Pure Maple Syrup,260
Uncooked Quinoa,368
Beetroot,43
Black Peppercorns,250
Corn Flakes,379
Lemongrass,44
Scallion,32
Curry Leaves (Kadhi Patta),2
Black Pepper Corns,250
Cardamom,304
Whole Moong Beans,348
Vinegar,16
Palm Sugar,318
Cocoa Powder,249
Seeds (Flaxseeds and Chia Seeds),534
Chamomile Tea Bags,2
White Pepper (Finely Ground),250
Ripe Banana,105
Basil,27
Lemon Juice,29
Red Chilli,40
Garam Masala,323
White Wine Vinegar,16
Toasted Almonds (Powdered),578
Flax Seeds,534
Chicken,165
Avocado Paste,160
White Fish (Cut into Cubes),105
Sear Fish,105
Red Rice Vermicelli/ Broken Semolina/ Sooji Vermicelli,358
Ice Cold Water,0
Bean Stick,16
Sage Leaf,17
Dark Soy Sauce,108
Buckwheat Flour,343
Olive Oil,119
Ground Cinnamon,249
Flour,355
Ginger (Mash),80
Cardamoms,304
Green Papaya,33
Green Onions,32
Beer,42
Orange Peel,47
Eggs,155
Fresh Peach Slices,49
Seedless Dates,277
Salt,0
Cilantro (Work Best),27
Chocolate Chips,530
Extra Olive Oil,119
Paan (Crushed),44
Olive Oil (For Grilling),119
Unpeeled,67
Vanilla,288
Turmeric Powder,354
Brown Sugar,324
Ajinomoto (Optional),384
Active Charcoal,4
Cow Ghee,884
Cooking Oil,119
Chili Flakes,40
Flour,355
Sunflower Seeds,579
Truffle Oil,0
Sea Bass Fillets,105
Peeled and Sliced Pear,62
Skimmed Milk,91
Green Chilli,40
Mustard Oil,119
Tuna,203
Dunkeleweizen (Pour into a Glass and Keep Open at Room Temperature for an Hour or Two to Make Flat),142
Marshmallows,318
Honey,300
