Ingredient,Calories per 100 grams
Fresh Chives (Dried If Fresh Not Available),32
Pineapple Chunks,49
Chicken Breast,165
Cinnamon Stick,246
Mixed Boiled Beans (Choose From Rajma,334
Carrots,41
Green Apple,52
Green Peppers,30
Eggs (Separated),155
Seabass Fish Curry Cuts,105
Whipped Cream,400
Chaat Masala,322
Spring Onion,25
Mozzarella Cheese,302
Coriander Powder,229
Olive Oil,119
White Chocolate,530
Popped Amaranthus (Cholai),379
Red Chilli Powder,40
Core,41
Olive Oil,119
Oil,119
Cream Of Tartar,292
Caster Sugar,383
Nutmeg,360
Besan,355
Fish Pieces (Boneless),105
Ginger (Large),80
Muscovado Sugar (You Can Also Use Normal Sugar),383
Tabasco,150
Cocoa Powder,252
Cloves (Whole),315
Black Gram (Kala Chana),341
Fresh Orange Juice,45
Cardamom Powder,311
Christmas Mix Spicy,480
Apples,52
Sunflower Oil,884
Apricots (Dried),280
Parmesan Cheese,330
Broccoli,28
Oil (For Greasing),119
Spinach,23
Lemon Rind,13
Gelatin,350
Ghee,884
Cornflour,372
Mini Chocolate Chips,534
Paneer (Cooked),264
Hoisin Sauce,150
Plain Yogurt (Whipped With Lemon Rind),59
Chipotle Powder,400
Oil,119
Salt,0
Instant Vanilla Pudding Mix,383
Salt,0
Spring Onion,25
Lemongrass,32
Potato (Boiled),87
Lotus Root,71
Peanuts,578
1 Fried Onion (Medium),280
Shelled Edamame (Defrosted),122
Poha,358
Curry Leaves,2
Himalayan Pink Salt / Rock Salt,0
Vanilla Essence,288
Jamun,62
Shiitake Mushrooms,35
Whole Milk,62
Ripe Bananas,96
Grain Made From Rice; Usually Made By Heating Rice Kernels Under High Pressure In The Presence Of Steam,358
Cumin Seed,322
Almonds (Blanched),578
Yogurt,62
Refined Oil,119
Clarified Butter (Ghee),884
White Sesame Seeds,529
Lettuce Arugula (Trimmed),15
Lobster Meat,105
Black Mustard Seeds,250
Cauliflowers,26
Apples,52
Spinach,23
Almonds (Shredded),578
Chives,32
Fresh Mint Leaves,43
Soft Dried Figs,277
Cornflour (Blended With Water),372
Toasted Almonds,578
Tamarind,27
