Ingredient,Calories per 100 grams
Almond Sliver,578
Shallots,28
Ground Cardamom,311
White Chilli Powder,40
Screw Pine Essence (Kewra),2
Paprika And Olives Powder,43
Garlic Pods,149
Honey,304
Sesame Oil,921
Cumin (Powdered),322
Peanuts (To Garnish),578
Egg (Optional),155
Low Fat Yogurt,35
Home Made Prawn Crisp,105
Garlic Cloves (Smashed),149
Garlic,149
Salt,0
Capsicum,30
Semolina,360
Coconut,286
Buttermilk,35
Oats Flour,350
Almonds,578
Mandarins,47
Watermelon Balls Or Small Squares (Seedless),34
Large Shrimps (Optional),105
Coriander,27
Fresh Pineapple,49
Cream Cheese (Softened),252
Peeled And Sliced Apple,52
Onion (Finely Diced),25
Button Mushroom,22
Fresh Thyme Sprigs,10
Black Pepper,250
Haldi,320
Green Peas,80
Almonds (Chopped),578
White Wine,80
Almonds,578
Almond Essence,2
Green Onion,25
Hot Water,0
Whole Chicken (Skin On- Rinsed And Dressed),165
Shallot,28
Wheat Flour,355
Noodles,371
Salt & Pepper,0
Rice Flour,368
Kiwi,61
Quinoa (Cooked),128
Water,0
Kokum,30
Cherry Tomato,18
Ginger,80
Red Onion,25
Carom Seeds,322
Onions,25
Spring Onion,25
Cashews (Kaju),578
Fenugreek (Methi),23
White And Black Sesame Seeds,529
Pistachio,570
Soy Sauce,52
Sole Fillet (You Can Also Do 2/3 Types Of Fish),90
Tamarind Extract,27
Butchery Bag,0
Lemon (Zest And Juice),29
Khoya,247
Plain Couscous,371
